,id. Response ID,submitdate. Date submitted,Month Year[subm...Date submitted],Month[Month Yea...ate submitted]],Year[Month Year...ate submitted]],lastpage. Last page,Carmain,Previous PHEVs,Previous BEVs,Previous HEVs,Previous CNGs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Home Type (detached 1),Highest Level of Education,Longest trip in the last 12 months,Number of trips over 200 miles in the last 12 months,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual VMT Estimate ,"FCV, BEV Dummy"
46,FCV_1_53,2017/06/06 16:17:56,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,500000.0,2.87,1.0,0.0,4.0,410.32,0.0,25.03,4.0,65.0,0.0,5,11032.0,0.0
47,FCV_1_54,2017/06/06 19:04:15,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,125000.0,2.72,0.0,0.0,4.0,153.63,9.0,15.76,1.0,45.0,0.0,2,11440.0,0.0
48,FCV_1_55,,,,,19.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,,,,,,,,,4.0,35.0,0.0,2,,0.0
49,FCV_1_56,2017/06/06 20:09:49,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,1.0,0.0,0.0,175000.0,2.63,1.0,1.0,3.0,417.32,0.0,28.6,4.0,55.0,0.0,3,11333.333333333334,0.0
50,FCV_1_57,2017/06/06 21:26:05,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,225000.0,2.55,1.0,1.0,4.0,112.83,5.0,20.2,2.0,65.0,0.0,2,11621.052631578947,0.0
51,FCV_1_58,2017/06/06 22:55:02,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,,-1.37,1.0,1.0,3.0,112.15,2.0,19.54,2.0,45.0,0.0,2,11409.75,0.0
52,FCV_1_59,2017/06/06 23:44:20,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,125000.0,2.81,1.0,1.0,4.0,,0.0,37.27,4.0,35.0,0.0,2,6000.0,0.0
53,FCV_1_60,2017/06/07 06:12:42,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,0.0,0.0,0.0,225000.0,1.28,1.0,1.0,4.0,393.02,0.0,66.35,2.0,55.0,1.0,2,24000.0,0.0
54,FCV_1_61,2017/06/07 09:41:32,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,0.0,0.0,500000.0,2.65,1.0,1.0,4.0,1366.74,0.0,44.1,5.0,45.0,0.0,5,15000.0,0.0
55,FCV_1_62,2017/06/07 11:32:57,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,175000.0,2.63,1.0,1.0,4.0,444.34,2.0,28.75,1.0,45.0,0.0,1,12461.538461538463,0.0
56,FCV_1_63,,,,,41.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,175000.0,0.51,0.0,0.0,4.0,332.69,0.0,34.96,2.0,35.0,0.0,2,,0.0
57,FCV_1_64,2017/06/08 11:42:05,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,,2.71,1.0,0.0,,522.47,8.0,24.8,1.0,55.0,0.0,1,6461.538461538461,0.0
58,FCV_1_65,2017/06/07 15:27:55,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,0.0,0.0,325000.0,1.54,1.0,1.0,4.0,408.39,0.0,9.02,4.0,45.0,0.0,2,12000.0,0.0
59,FCV_1_66,2017/06/07 15:25:46,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,1.0,0.0,,2.72,1.0,1.0,3.0,291.66,0.0,2.22,3.0,65.0,0.0,3,-18699.0,0.0
60,FCV_1_67,2017/06/07 15:55:26,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,1.0,0.0,0.0,500000.0,0.93,1.0,1.0,1.0,427.28,0.0,34.17,5.0,18.0,0.0,3,15375.0,0.0
61,FCV_1_68,2017/06/07 15:31:39,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,175000.0,,0.0,0.0,4.0,350.57,3.0,28.35,3.0,55.0,0.0,3,8400.0,0.0
62,FCV_1_69,,,,,3.0,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
63,FCV_1_70,2017/06/07 16:02:55,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,125000.0,2.34,0.0,0.0,2.0,371.24,2.0,9.86,2.0,45.0,0.0,2,8666.666666666666,0.0
64,FCV_1_71,2017/06/07 15:51:44,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,75000.0,0.96,0.0,0.0,3.0,,0.0,6.84,1.0,45.0,1.0,1,9480.0,0.0
65,FCV_1_72,,,,,2.0,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
66,FCV_1_73,2017/06/07 15:54:10,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,275000.0,1.1,1.0,1.0,4.0,71.98,0.0,16.47,4.0,45.0,0.0,2,12144.0,0.0
67,FCV_1_74,2017/06/07 15:37:35,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,275000.0,2.69,1.0,1.0,4.0,446.41,7.0,6.72,5.0,55.0,0.0,4,17356.0,0.0
68,FCV_1_75,2017/06/07 15:44:16,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,175000.0,-2.82,1.0,1.0,4.0,57.32,0.0,29.6,8.0,35.0,0.0,2,12056.0,0.0
69,FCV_1_76,2017/06/07 15:56:59,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,225000.0,2.67,1.0,1.0,2.0,251.11,1.0,10.3,2.0,75.0,0.0,2,6635.2941176470595,0.0
70,FCV_1_77,2017/06/07 15:38:56,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,225000.0,1.42,1.0,1.0,4.0,311.19,2.0,19.33,7.0,45.0,0.0,2,16302.0,0.0
71,FCV_1_78,2017/06/07 15:43:56,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,125000.0,2.72,1.0,1.0,4.0,179.67,4.0,23.06,2.0,55.0,0.0,3,10846.153846153846,0.0
72,FCV_1_79,2017/06/07 16:00:00,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,500000.0,2.9,1.0,1.0,3.0,340.33,0.0,14.15,6.0,45.0,0.0,5,8700.0,0.0
73,FCV_1_80,2017/06/07 15:50:36,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,275000.0,2.75,0.0,0.0,4.0,309.73,0.0,57.39,2.0,35.0,0.0,3,12480.0,0.0
74,FCV_1_81,2017/06/07 16:06:03,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,,2.93,1.0,1.0,4.0,,0.0,,2.0,75.0,0.0,2,3248.0,0.0
75,FCV_1_82,2017/06/07 15:50:39,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,275000.0,1.64,1.0,1.0,4.0,405.27,0.0,34.32,3.0,25.0,0.0,4,12000.0,0.0
76,FCV_1_83,,,,,28.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,,,,,,147.56,0.0,47.54,4.0,55.0,0.0,4,,0.0
77,FCV_1_84,,,,,6.0,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
78,FCV_1_85,2017/06/07 15:56:52,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,175000.0,1.37,1.0,1.0,3.0,106.27,7.0,3.33,2.0,35.0,0.0,2,14880.0,0.0
79,FCV_1_86,2017/06/07 16:41:59,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,275000.0,1.77,1.0,1.0,4.0,116.55,0.0,15.57,3.0,45.0,0.0,2,9468.0,0.0
80,FCV_1_87,,,,,18.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,,,,,,,,,4.0,35.0,0.0,2,,0.0
81,FCV_1_88,,,,,0.0,-1 -1 -1,,,,,,,,,,,,,,,,1,,
82,FCV_1_89,2017/06/07 16:04:47,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,275000.0,2.56,1.0,1.0,4.0,,0.0,14.25,2.0,65.0,1.0,2,6004.0,0.0
83,FCV_1_90,2017/06/07 16:13:04,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,75000.0,2.42,0.0,0.0,3.0,117.79,3.0,2.71,1.0,65.0,0.0,2,11640.0,0.0
84,FCV_1_91,2017/06/07 16:11:22,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,1.0,,2.69,1.0,1.0,,,0.0,1.68,4.0,45.0,0.0,2,5100.0,0.0
85,FCV_1_92,2017/06/07 16:57:59,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,175000.0,,1.0,1.0,3.0,,0.0,1.27,2.0,75.0,0.0,2,2773.5,0.0
86,FCV_1_93,2017/06/07 16:25:27,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,275000.0,1.96,1.0,1.0,3.0,228.39,4.0,11.79,3.0,65.0,0.0,3,7080.0,0.0
87,FCV_1_94,2017/06/07 16:28:22,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,1.0,1.0,0.0,225000.0,2.68,1.0,0.0,3.0,109.02,3.0,53.78,2.0,45.0,0.0,3,11200.0,0.0
88,FCV_1_95,2017/06/08 08:53:29,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,1.0,0.0,0.0,125000.0,0.18,1.0,0.0,4.0,383.94,0.0,42.8,3.0,55.0,0.0,3,9000.0,0.0
89,FCV_1_96,2017/06/29 15:29:33,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,225000.0,2.7,1.0,1.0,3.0,396.59,0.0,18.05,4.0,45.0,0.0,2,15367.5,0.0
90,FCV_1_97,,,,,15.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,,,,,,,,,4.0,55.0,0.0,3,,0.0
91,FCV_1_98,,,,,2.0,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
92,FCV_1_99,2017/06/07 16:41:58,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,1.0,0.0,0.0,325000.0,,1.0,1.0,4.0,450.68,0.0,24.09,2.0,45.0,0.0,2,13200.0,0.0
93,FCV_1_100,2017/06/07 16:35:10,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,0.0,0.0,0.0,125000.0,1.4,0.0,0.0,4.0,119.08,3.0,31.31,1.0,35.0,0.0,3,22000.0,0.0
94,FCV_1_101,2017/06/07 16:19:54,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
95,FCV_1_102,2017/06/07 16:46:56,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,1.0,0.0,0.0,175000.0,2.78,1.0,1.0,4.0,353.6,0.0,35.7,3.0,55.0,0.0,3,13400.0,0.0
96,FCV_1_103,2017/06/07 16:47:06,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,1.0,0.0,1.0,0.0,225000.0,1.62,1.0,1.0,3.0,,0.0,5.75,2.0,65.0,0.0,2,5478.0,0.0
97,FCV_1_104,2017/06/07 16:46:30,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,375000.0,2.68,1.0,1.0,4.0,455.2,0.0,10.02,3.0,35.0,0.0,3,4500.0,0.0
98,FCV_1_105,,,,,13.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,,,,,,,,,4.0,55.0,0.0,4,,0.0
99,FCV_1_106,2017/06/07 17:06:46,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,125000.0,,1.0,1.0,3.0,229.17,0.0,19.31,6.0,35.0,0.0,3,10506.666666666666,0.0
100,FCV_1_107,2017/06/07 16:49:08,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,1.0,0.0,0.0,225000.0,2.78,1.0,1.0,3.0,370.31,5.0,,4.0,45.0,0.0,2,7200.0,0.0
101,FCV_1_108,2017/06/07 17:11:22,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,3.0,484.65,4.0,4.13,2.0,75.0,0.0,3,11750.0,0.0
102,FCV_1_109,2017/06/07 19:48:21,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,175000.0,2.85,1.0,1.0,3.0,342.92,1.0,39.33,2.0,65.0,0.0,3,10400.0,0.0
103,FCV_1_110,,,,,34.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,,,,,,101.69,0.0,3.52,4.0,45.0,0.0,2,,0.0
104,FCV_1_111,2017/06/07 17:10:06,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,125000.0,2.29,1.0,1.0,3.0,471.39,0.0,21.75,2.0,65.0,0.0,2,11492.571428571428,0.0
105,FCV_1_112,2017/06/07 17:03:26,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,0.0,0.0,175000.0,2.59,1.0,1.0,3.0,616.8,0.0,20.34,5.0,55.0,0.0,4,9840.0,0.0
106,FCV_1_114,2017/07/17 12:06:23,07/2017,7.0,2017.0,42.0,2016 Toyota Mirai,,,,,225000.0,2.49,1.0,0.0,4.0,63.84,10.0,,1.0,55.0,0.0,1,10363.636363636364,0.0
107,FCV_1_115,2017/06/07 17:23:48,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,0.0,0.0,275000.0,,1.0,1.0,4.0,340.84,130.0,9.58,2.0,65.0,0.0,2,7548.0,0.0
108,FCV_1_116,,,,,9.0,2016 Toyota Mirai,0.0,1.0,1.0,0.0,,,,,,,,,,,,5,,0.0
109,FCV_1_117,2017/06/07 17:55:15,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,0.0,0.0,1.0,0.0,475000.0,2.65,1.0,1.0,4.0,103.52,0.0,30.84,5.0,45.0,0.0,2,8494.5,0.0
110,FCV_1_118,2017/06/07 18:13:54,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,275000.0,2.73,1.0,1.0,4.0,340.25,18.0,9.01,2.0,55.0,0.0,2,9428.400000000001,0.0
111,FCV_1_119,,,,,3.0,2017 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
112,FCV_1_120,2017/06/08 03:56:45,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,225000.0,2.78,1.0,0.0,2.0,260.77,0.0,24.06,2.0,65.0,0.0,2,10661.538461538461,0.0
113,FCV_1_121,2017/06/07 19:14:03,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,125000.0,2.19,1.0,1.0,3.0,39.56,40.0,2.39,8.0,65.0,0.0,4,5333.333333333334,0.0
114,FCV_1_122,2017/06/07 20:23:12,06/2017,6.0,2017.0,42.0,2017 Toyota Mirai,1.0,0.0,0.0,0.0,125000.0,2.34,0.0,1.0,2.0,284.56,0.0,25.96,4.0,45.0,0.0,4,14590.0,0.0
115,FCV_1_123,,,,,25.0,2017 Toyota Mirai,0.0,1.0,0.0,0.0,,,,,,,,6.59,2.0,55.0,0.0,2,,0.0
116,FCV_1_124,2017/06/07 21:07:31,06/2017,6.0,2017.0,42.0,2017 Honda Clarity,0.0,0.0,0.0,0.0,275000.0,1.57,1.0,1.0,3.0,198.31,1.0,22.72,2.0,55.0,0.0,3,9820.8,0.0
117,FCV_1_125,,,,,3.0,2016 Toyota Mirai,,,,,,,,,,,,,,,,1,,0.0
118,FCV_1_126,2017/06/07 19:55:45,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,225000.0,-2.99,1.0,1.0,4.0,438.41,1.0,8.16,2.0,65.0,0.0,5,5871.428571428572,0.0
119,FCV_1_129,2017/06/07 20:40:00,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,175000.0,2.79,1.0,1.0,3.0,455.17,5.0,18.94,3.0,55.0,1.0,3,16219.384615384613,0.0
120,FCV_1_128,2017/06/07 20:58:12,06/2017,6.0,2017.0,42.0,2016 Toyota Mirai,0.0,0.0,1.0,0.0,,1.5,0.0,1.0,4.0,522.51,2.0,15.03,2.0,80.0,0.0,2,10176.0,0.0
